origin,product,perc,sum_kg_product,category
CACERES,AJOS,0.04,7488,Verdura
CACERES,ALBARICOQUE,0.22,43100,Fruta
CACERES,ALMENDRA,0,300,Fruta
CACERES,AÑOJO,4.14,828641,Carne
CACERES,APIO,0.01,2275,Verdura
CACERES,APIONABO,0,225,Verdura
CACERES,BROCOLI,0.02,3800,Verdura
CACERES,CACAHUETE,0,600,Fruta
CACERES,CALABACIN,0.05,10500,Verdura
CACERES,CALABAZA,0.08,15180,Verdura
CACERES,CALABAZAS,0.03,6820,Verdura
CACERES,CASTAÑA,0.24,48460,Fruta
CACERES,CEBOLLA,0.25,50470,Verdura
CACERES,CEREZAS,34.58,6929731,Fruta
CACERES,CHIRIMOYAS,0.05,10720,Fruta
CACERES,CIRUELA,2.84,569101,Fruta
CACERES,CIRUELAS,2.32,465009,Fruta
CACERES,COLIFLOR,0.16,32940,Verdura
CACERES,CONEJO,0.11,22660,Pollo
CACERES,ESCAROLAS,0.07,15000,Verdura
CACERES,ESPARRAGO,2.19,438054,Verdura
CACERES,ESPINACAS,0.21,41080,Verdura
CACERES,LECHUGA,0.02,3900,Verdura
CACERES,MELOCOTON,0.64,128200,Fruta
CACERES,NECTARINA,0.4,80560,Fruta
CACERES,NUECES,0.02,3300,Fruta
CACERES,OVINO,2.33,465949,Carne
CACERES,PANCHITO,0,375,Fruta
CACERES,PARAGUAYAS,0.02,4000,Fruta
CACERES,PEPINO,0.01,2000,Verdura
CACERES,PEREJIL,0,500,Verdura
CACERES,PISTACHO,0,225,Fruta
CACERES,POLLO,0.18,36400,Pollo
CACERES,PORCINO,1.99,399020,Carne
CACERES,PUERROS,0.28,55940,Verdura
CACERES,SETAS,0.02,4285,Verdura
CACERES,TOMATE,0.17,34140,Verdura
CACERES,VACUNO,46.1,9237999,Carne
CACERES,ZANAHORIA,0.2,39300,Verdura
CADIZ,ABADEJO,0.01,800,Pescado
CADIZ,ACEDIAS,0.18,11350,Pescado
CADIZ,AJO TIERNO,0,48,Verdura
CADIZ,AJOS,0.02,1552,Verdura
